date,country,Region,New_Cases,New_Death,New_Recoveries,Total_Cases,Total_Deaths,Total_Recoveries
2020-03-02,Saudi Arabia,Eastern Region,1,0,0,1,0,0
2020-03-02,Saudi Arabia,Ar Riyad,0,0,0,0,0,0
2020-03-02,Saudi Arabia,Makkah Al Mukarramah,0,0,0,0,0,0
2020-03-02,Saudi Arabia,Jazan,0,0,0,0,0,0
2020-03-02,Saudi Arabia,Aseer,0,0,0,0,0,0
2020-03-02,Saudi Arabia,Al Madinah Al Munawwarah,0,0,0,0,0,0
2020-03-02,Saudi Arabia,Al Bahah,0,0,0,0,0,0
2020-03-02,Saudi Arabia,Tabuk,0,0,0,0,0,0
2020-03-02,Saudi Arabia,Al Qaseem,0,0,0,0,0,0
2020-03-02,Saudi Arabia,Najran,0,0,0,0,0,0
2020-03-02,Saudi Arabia,Northern Borders,0,0,0,0,0,0
2020-03-02,Saudi Arabia,Hail,0,0,0,0,0,0
2020-03-02,Saudi Arabia,Al Jawf,0,0,0,0,0,0
2020-03-04,Saudi Arabia,Eastern Region,1,0,0,2,0,0
2020-03-04,Saudi Arabia,Ar Riyad,0,0,0,0,0,0
2020-03-04,Saudi Arabia,Makkah Al Mukarramah,0,0,0,0,0,0
2020-03-04,Saudi Arabia,Jazan,0,0,0,0,0,0
2020-03-04,Saudi Arabia,Aseer,0,0,0,0,0,0
2020-03-04,Saudi Arabia,Al Madinah Al Munawwarah,0,0,0,0,0,0
2020-03-04,Saudi Arabia,Al Bahah,0,0,0,0,0,0
2020-03-04,Saudi Arabia,Tabuk,0,0,0,0,0,0
2020-03-04,Saudi Arabia,Al Qaseem,0,0,0,0,0,0
2020-03-04,Saudi Arabia,Najran,0,0,0,0,0,0
2020-03-04,Saudi Arabia,Northern Borders,0,0,0,0,0,0
2020-03-04,Saudi Arabia,Hail,0,0,0,0,0,0
2020-03-04,Saudi Arabia,Al Jawf,0,0,0,0,0,0
2020-03-05,Saudi Arabia,Eastern Region,3,0,0,5,0,0
2020-03-05,Saudi Arabia,Ar Riyad,0,0,0,0,0,0
2020-03-05,Saudi Arabia,Makkah Al Mukarramah,0,0,0,0,0,0
2020-03-05,Saudi Arabia,Jazan,0,0,0,0,0,0
2020-03-05,Saudi Arabia,Aseer,0,0,0,0,0,0
2020-03-05,Saudi Arabia,Al Madinah Al Munawwarah,0,0,0,0,0,0
2020-03-05,Saudi Arabia,Al Bahah,0,0,0,0,0,0
2020-03-05,Saudi Arabia,Tabuk,0,0,0,0,0,0
2020-03-05,Saudi Arabia,Al Qaseem,0,0,0,0,0,0
2020-03-05,Saudi Arabia,Najran,0,0,0,0,0,0
2020-03-05,Saudi Arabia,Northern Borders,0,0,0,0,0,0
2020-03-05,Saudi Arabia,Hail,0,0,0,0,0,0
2020-03-05,Saudi Arabia,Al Jawf,0,0,0,0,0,0
2020-03-07,Saudi Arabia,Eastern Region,2,0,0,7,0,0
2020-03-07,Saudi Arabia,Ar Riyad,0,0,0,0,0,0
2020-03-07,Saudi Arabia,Makkah Al Mukarramah,0,0,0,0,0,0
2020-03-07,Saudi Arabia,Jazan,0,0,0,0,0,0
2020-03-07,Saudi Arabia,Aseer,0,0,0,0,0,0
2020-03-07,Saudi Arabia,Al Madinah Al Munawwarah,0,0,0,0,0,0
2020-03-07,Saudi Arabia,Al Bahah,0,0,0,0,0,0
